Description	ID	nc	nt	sp
estExt_fgenesh1_kg.C_810713	10633	1	1	1
estExt_Genewise1Plus.C_810743	10634	1	1	0
estExt_Genewise1Plus.C_31873	10637	0	1	0
estExt_Genemark.C_30564	10638	2	1	0
 Neurospora crassa OR74A hypothetical protein (477 aa)	10643	1	1	0
 Neurospora crassa OR74A hypothetical protein (477 aa)	10644	1	1	0
 Neurospora crassa OR74A SUN domain-containing protein (477 aa)	10645	1	1	0
 Neurospora crassa OR74A hydrolase (477 aa)	10649	1	1	0
 Neurospora crassa OR74A hypothetical protein (477 aa)	10650	1	0	0
 Neurospora crassa OR74A tRNA methyltransferase (477 aa)	10653	1	1	0
"UDP-N-acetylglucosamine diphosphorylase Uap1/Qri1(predicted)"	10657	0	0	1
"Sir2 family histone deacetylase Sir2"	10658	0	0	1
"nuclear rim protein Amo1"	10659	0	0	1
"translocon subunit Sec61 homolog (predicted)"	10660	0	0	1
"mitochondrial sorting and assembly machinery complex subunit Sam50 (predicted)"	10661	0	0	1
"RNA-binding protein (predicted)"	10662	0	0	1
estExt_fgenesh1_pm.C_811351	10663	1	1	0
estExt_Genewise1.C_61674	10664	1	1	0
estExt_Genewise1Plus.C_40161	10667	1	1	0
fgenesh1_pm.2_#_1177	10668	1	1	0
estExt_fgenesh1_pm.C_11066	10670	1	1	0
 Neurospora crassa OR74A monooxygenase (476 aa)	10672	1	1	0
 Neurospora crassa OR74A hypothetical protein (476 aa)	10677	1	0	0
"Spo4-Spo6 kinase complex regulatory subunit Spo6"	10678	0	0	1
"serine/threonine protein kinase Ksp1 (predicted)"	10679	0	0	1
"phophatidylinositol 3-kinase complex subunit Vps38"	10680	0	0	1
"mRNA cleavage factor complex subunit (predicted)"	10681	0	0	1
"centrosomal transforming acidic coiled-coil (TACC) protein ortholog Alp7"	10684	0	0	1
"mitochondrial threonine-tRNA ligase (predicted)"	10685	0	0	1
"CAAX prenyl protease (predicted)"	10686	1	1	1
Genemark.6558_g	10688	1	1	0
estExt_Genewise1.C_30998	10691	1	1	0
estExt_fgenesh1_pm.C_30075	10692	1	1	0
e_gw1.3.1472.1	10693	0	1	0
estExt_Genewise1Plus.C_23155	10694	1	1	1
e_gw1.1.2443.1	10695	1	1	0
 Neurospora crassa OR74A hypothetical protein (475 aa)	10696	1	1	0
 Neurospora crassa OR74A abhydrolase domain containing 12 (475 aa)	10697	1	1	0
 Neurospora crassa OR74A carbohydrate O-acetyltransferase (475 aa)	10700	1	1	0
 Neurospora crassa OR74A hypothetical protein (475 aa)	10701	1	0	0
"Jmj4 protein (predicted)"	10703	0	0	1
"lysine methyltransferase (predicted)"	10704	0	0	1
"mRNA processing factor"	10706	0	0	1
"WD repeat protein Prp5"	10707	0	0	1
"SAGA complex subunit Spt20"	10708	0	0	1
estExt_Genewise1.C_812724	10710	1	1	0
e_gw1.81.1472.1	10711	1	1	0
estExt_Genewise1.C_51128	10714	4	1	0
estExt_Genewise1Plus.C_51068	10715	1	1	0
e_gw1.4.355.1	10716	1	2	0
estExt_fgenesh1_pm.C_20051	10717	1	1	0
 Neurospora crassa OR74A glucan 1,3-beta-glucosidase (474 aa)	10719	1	1	0
 Neurospora crassa OR74A hypothetical protein (474 aa)	10721	1	0	0
"acyl-coA-sterol acyltransferase Are2 (predicted)"	10729	0	0	1
"MBF transcription factor activator Rep1"	10730	0	0	1
"GTPase activating protein (predicted)"	10731	0	0	1
"Sad1 interacting factor Sif3 (predicted)"	10732	0	0	1
estExt_fgenesh1_pm.C_811026	10733	0	1	0
estExt_Genewise1.C_52221	10735	3	3	0
estExt_fgenesh1_pm.C_50116	10737	0	1	0
estExt_Genewise1Plus.C_41903	10738	1	1	0
estExt_Genewise1Plus.C_13321	10741	1	1	0
 Neurospora crassa OR74A pyridoxine kinase (473 aa)	10742	1	1	0
 Neurospora crassa OR74A endoglucanase B (473 aa)	10744	1	1	0
 Neurospora crassa OR74A hypothetical protein (473 aa)	10745	1	0	0
 Neurospora crassa OR74A hypothetical protein (473 aa)	10749	1	1	0
 Neurospora crassa OR74A hypothetical protein (473 aa)	10750	1	1	0
"alpha-1,2-mannosyltransferase Alg11"	10753	0	0	1
"mitochondrial glutamyl-tRNA amidotransferase alpha subunit (predicted)"	10755	0	0	1
"PAK-related GC kinase Sid1"	10756	0	0	1
estExt_Genemark.C_812169	10757	1	1	0
estExt_fgenesh1_kg.C_60018	10760	2	2	0
estExt_Genewise1.C_52307	10761	1	1	0
estExt_Genewise1.C_42130	10764	1	1	0
estExt_Genewise1Plus.C_31159	10765	1	1	0
estExt_fgenesh1_pg.C_11279	10767	1	1	0
estExt_fgenesh1_kg.C_10095	10768	1	1	0
 Neurospora crassa OR74A TPR repeat protein (472 aa)	10772	1	0	0
 Neurospora crassa OR74A carnitine biosynthesis-1 (472 aa)	10775	1	1	0
"Las1 pre-rRNA processing protein"	10779	0	0	1
"GTPase Grn1"	10780	0	0	1
"serine/threonine protein kinase Ran1"	10781	0	0	1
"myosin binding vezatin family protein involved in peroxisome inheritance Inp2 (predicted)"	10782	0	0	1
"ubiquitin-protein ligase E3 (predicted)"	10783	2	1	1
e_gw1.43.1.1	10784	0	1	0
estExt_Genewise1.C_810170	10786	1	1	0
estExt_Genewise1.C_22769	10789	1	1	0
estExt_fgenesh1_pm.C_21027	10790	1	1	0
estExt_fgenesh1_pm.C_20810	10791	1	1	1
estExt_Genewise1Plus.C_20890	10792	1	1	0
 Neurospora crassa OR74A hypothetical protein (471 aa)	10796	1	0	0
 Neurospora crassa OR74A hypothetical protein (471 aa)	10799	1	1	0
 Neurospora crassa OR74A hypothetical protein (471 aa)	10800	1	0	0
 Neurospora crassa OR74A rds1 (471 aa)	10802	1	1	0
 Neurospora crassa OR74A hypothetical protein (471 aa)	10804	1	0	0
 Neurospora crassa OR74A hypothetical protein (471 aa)	10810	1	1	0
 Neurospora crassa OR74A threonine-5 (471 aa)	10811	1	1	0
"S. pombe specific multicopy membrane protein family 1"	10812	0	0	1
"tRNA (guanine-N2-)-methyltransferase catalytic subunit Trm11 (predicted)"	10813	0	0	1
"septin Spn1"	10815	2	1	1
"LAlv9 family protein, involved in post Golgi transport (predicted)"	10816	0	0	1
"DNA recombination protein Rad52 (previously Rad22)"	10817	0	0	1
"serine/threonine protein kinase Orb6"	10818	0	0	1
estExt_Genewise1Plus.C_813926	10819	1	1	1
estExt_Genewise1Plus.C_813567	10820	1	1	0
estExt_Genewise1.C_810433	10821	1	1	0
estExt_fgenesh1_pm.C_60426	10822	1	1	0
estExt_Genewise1.C_51594	10824	1	1	0
e_gw1.3.1669.1	10826	0	1	0
estExt_Genewise1Plus.C_21220	10829	1	1	0
estExt_Genewise1Plus.C_11634	10831	1	1	1
 Neurospora crassa OR74A histone chaperone RTT106 (470 aa)	10837	1	1	0
 Neurospora crassa OR74A hypothetical protein (470 aa)	10840	1	1	0
 Neurospora crassa OR74A hypothetical protein (470 aa)	10841	1	0	0
 Neurospora crassa OR74A RNA polymerase TFIIH complex subunit Ssl1 (470 aa)	10846	1	1	1
 Neurospora crassa OR74A submerged protoperithecia-1 (470 aa)	10848	2	1	0
"major facilitator family transmembrane transporter Mug111 (predicted)"	10849	0	0	1
"ubiquitin-protein ligase E3 Dbl5"	10850	0	0	1
"transcription factor Ste11"	10851	0	0	1
"mRNP complex (predicted)"	10852	0	0	1
"ribosome L32 lysine methyltransferase Set13"	10854	0	0	1
"plasma membrane sodium ion/proton antiporter Sod2"	10855	0	0	1
estExt_Genewise1.C_62036	10859	1	1	0
estExt_fgenesh1_pg.C_30963	10861	1	1	0
estExt_Genemark.C_30537	10862	1	1	0
 Neurospora crassa OR74A WD repeat protein (469 aa)	10868	1	1	0
 Neurospora crassa OR74A hypothetical protein (469 aa)	10870	2	1	0
"triglyceride lipase-cholesterol esterase (predicted)"	10873	0	0	1
"ESCRT II complex subunit Vps36"	10874	0	0	1
"Tel2 interacting protein Tti2, predicted ASTRA complex subunit"	10875	0	0	1
"ER oxidoreductin Ero1a"	10876	0	0	1
"F-box protein Pof9"	10877	0	0	1
"translation initiation factor eIF2B delta subunit (predicted)"	10879	0	0	1
"vacuolar serine protease Isp6"	10881	0	0	2
"DUF185 protein, mitochondrial"	10882	0	0	1
estExt_fgenesh1_pm.C_811154	10883	1	1	0
estExt_fgenesh1_pg.C_60387	10885	1	1	0
estExt_Genewise1Plus.C_51616	10886	1	1	0
fgenesh1_pg.3_#_980	10888	0	1	0
estExt_Genewise1.C_22380	10889	1	1	0
fgenesh1_pg.1_#_1404	10891	1	1	0
 Neurospora crassa OR74A hypothetical protein (468 aa)	10892	1	0	0
 Neurospora crassa OR74A hypothetical protein (468 aa)	10893	1	1	0
 Neurospora crassa OR74A set-domain histone methyltransferase-9 (468 aa)	10894	1	1	0
 Neurospora crassa OR74A hypothetical protein (468 aa)	10896	1	1	0
 Neurospora crassa OR74A RING-8 protein (468 aa)	10900	1	0	0
 Neurospora crassa OR74A formamidase (468 aa)	10901	2	1	1
 Neurospora crassa OR74A hypothetical protein (468 aa)	10902	2	1	0
 Neurospora crassa OR74A hypothetical protein (468 aa)	10904	1	1	0
"G-protein coupled receptor Git3"	10905	0	0	1
"D-3 phosphoglycerate dehydrogenase Ser3 (predicted)"	10907	1	1	1
"N-myristoyltransferase 1 (predicted)"	10908	0	0	1
"U2-associated protein (predicted)"	10909	0	0	1
"mannan endo-1,6-alpha-mannosidase (predicted)"	10912	0	0	2
"replication termination factor Rtf1"	10913	0	0	1
estExt_fgenesh1_pg.C_810714	10915	1	1	0
estExt_Genewise1Plus.C_811132	10916	1	1	0
estExt_Genewise1Plus.C_51919	10918	1	1	2
estExt_fgenesh1_pg.C_50634	10920	1	1	0
estExt_fgenesh1_pg.C_40915	10921	0	1	0
estExt_fgenesh1_pm.C_20988	10923	0	1	0
estExt_Genewise1Plus.C_12039	10925	1	1	0
estExt_fgenesh1_pg.C_10246	10929	1	1	0
 Neurospora crassa OR74A hypothetical protein (467 aa)	10930	1	0	0
 Neurospora crassa OR74A hypothetical protein (467 aa)	10931	1	0	0
 Neurospora crassa OR74A hypothetical protein (467 aa)	10932	1	0	0
 Neurospora crassa OR74A 1,3-beta-glucanosyltransferase gel1 (467 aa)	10934	2	2	0
 Neurospora crassa OR74A hypothetical protein (467 aa)	10935	1	1	0
 Neurospora crassa OR74A golgi transport complex component Cog5 (467 aa)	10936	1	1	0
 Neurospora crassa OR74A spo11 ortholog (467 aa)	10943	1	1	0
"RNA endoribonuclease involved in mRNP quality control (predicted)"	10946	0	0	1
"mitochondrial inheritance GTPase, tubulin-like (predicted)"	10948	0	0	1
estExt_Genemark.C_810966	10950	1	1	0
estExt_Genewise1Plus.C_23195	10952	0	1	0
estExt_fgenesh1_kg.C_20497	10953	1	1	1
estExt_fgenesh1_pg.C_10861	10956	1	1	0
estExt_Genewise1Plus.C_10190	10958	1	1	0
 Neurospora crassa OR74A hypothetical protein (466 aa)	10962	1	0	0
 Neurospora crassa OR74A phosphatidylserine decarboxylase (466 aa)	10966	1	1	0
 Neurospora crassa OR74A nicotinic acid-4 (466 aa)	10967	1	1	1
"glucan 1,3-beta-glucosidase Exg3"	10971	0	0	1
"RNA-binding protein involved in export of mRNAs (predicted)"	10973	0	0	1
"septin Spn5"	10974	0	0	1
"histone demethylase Jmj1 (predicted)"	10975	0	0	1
"beclin family protein, involved in autophagy"	10976	0	0	1
"pig-V, dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase (predicted)"	10977	0	0	1
estExt_fgenesh1_pm.C_811246	10978	2	1	0
estExt_Genewise1Plus.C_811785	10980	1	1	0
gw1.6.2144.1	10981	0	1	0
fgenesh1_pg.5_#_85	10984	0	1	0
estExt_Genewise1Plus.C_40281	10985	1	1	1
e_gw1.2.1872.1	10988	0	1	0
estExt_Genewise1Plus.C_20773	10989	1	1	0
 Neurospora crassa OR74A CUE domain-containing protein (465 aa)	10990	1	1	0
 Neurospora crassa OR74A PDCD2 C terminal domain-containing protein (465 aa)	10991	1	1	0
 Neurospora crassa OR74A hypothetical protein (465 aa)	10993	1	0	0
 Neurospora crassa OR74A hypothetical protein (465 aa)	10995	1	1	0
 Neurospora crassa OR74A hypothetical protein (465 aa)	10998	1	1	0
 Neurospora crassa OR74A hypothetical protein (465 aa)	10999	1	1	0
 Neurospora crassa OR74A hypothetical protein (465 aa)	11001	1	1	0
"ribosome biogenesis protein (predicted)"	11002	0	0	1
"F-box protein Pof2"	11003	0	0	1
"cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp7 (predicted)"	11004	0	0	1
"acid phosphatase (predicted)"	11005	0	0	3
"But2 family protein"	11008	0	0	2
"hydrolase (predicted)"	11010	0	0	1
estExt_Genemark.C_810653	11011	0	1	0
estExt_Genewise1Plus.C_50504	11013	1	1	0
estExt_Genewise1Plus.C_11002	11015	1	1	0
 Neurospora crassa OR74A hypothetical protein (464 aa)	11018	1	0	0
"acid phosphatase (predicted)"	11021	0	0	1
"tRNA (m1A) methyltransferase Gcd10 (predicted)"	11022	0	0	1
"DNA polymerase delta small subunit Cdc1"	11023	0	0	1
"Clp1-interacting, microtubule plus-end binding Nsk1"	11024	0	0	1
"U4/U6 x U5 tri-snRNP complex subunit Prp4 family, Rna4"	11025	0	0	1
estExt_fgenesh1_pg.C_811559	11026	1	1	0
e_gw1.6.2176.1	11027	3	1	1
fgenesh1_pg.6_#_486	11028	1	1	0
estExt_Genewise1Plus.C_60605	11029	1	1	0
fgenesh1_pm.6_#_9	11030	1	1	0
estExt_Genewise1Plus.C_42255	11031	1	1	0
estExt_fgenesh1_pg.C_40489	11032	0	1	0
estExt_Genewise1Plus.C_22385	11033	0	1	0
estExt_Genewise1.C_21624	11034	1	1	0
estExt_Genewise1.C_11090	11037	1	1	0
Genemark.322_g	11038	1	1	0
 Neurospora crassa OR74A hypothetical protein (463 aa)	11041	1	1	0
 Neurospora crassa OR74A hypothetical protein (463 aa)	11042	1	0	0
 Neurospora crassa OR74A monooxygenase (463 aa)	11043	1	1	0
 Neurospora crassa OR74A hypothetical protein (463 aa)	11044	1	1	0
 Neurospora crassa OR74A hypothetical protein (463 aa)	11046	1	1	0
 Neurospora crassa OR74A hypothetical protein (463 aa)	11053	1	1	0
 Neurospora crassa OR74A oxidase assembly protein 1 (463 aa)	11054	1	1	0
"dihydrofolate reductase/ serine hydrolase family fusion protein Dfr1"	11055	0	0	1
"PHD finger containing protein Phf1"	11056	0	0	1
"serine/threonine protein kinase Ppk24"	11057	0	0	1
"cyclin Clg1 (predicted)"	11058	0	0	1
"adenine DNA glycosylase Myh1"	11060	0	0	1
"CLIP170 family protein Tip1"	11061	0	0	1
"D-arabinono-1,4-lactone oxidase (predicted)"	11062	0	0	1
estExt_fgenesh1_pm.C_810956	11063	1	1	0
estExt_Genemark.C_60954	11065	1	1	0
estExt_Genewise1.C_61374	11066	3	2	4
estExt_fgenesh1_pm.C_50961	11067	1	1	0
e_gw1.5.1338.1	11068	1	1	0
estExt_Genewise1.C_42005	11070	1	1	0
fgenesh1_pm.4_#_553	11071	1	1	0
estExt_fgenesh1_pm.C_20979	11072	1	1	0
estExt_Genewise1.C_12348	11074	1	1	0
fgenesh1_pg.1_#_605	11076	1	1	0
 Neurospora crassa OR74A NUDIX family hydrolase (462 aa)	11078	1	0	0
 Neurospora crassa OR74A hypothetical protein (462 aa)	11080	1	1	0
 Neurospora crassa OR74A hypothetical protein (462 aa)	11082	1	1	0
 Neurospora crassa OR74A allantoate transporter (462 aa)	11083	1	0	0
 Neurospora crassa OR74A arginine-5 (462 aa)	11086	1	1	1
 Neurospora crassa OR74A endoglucanase (462 aa)	11087	1	1	0
 Neurospora crassa OR74A hypothetical protein (462 aa)	11092	2	0	0
 Neurospora crassa OR74A hypothetical protein (462 aa)	11095	1	1	0
 Neurospora crassa OR74A hypothetical protein (462 aa)	11096	1	1	0
"replication checkpoint kinase Cds1"	11098	0	0	1
"translation elongation factor EF-1 alpha Ef1a-a"	11099	1	1	3
"triglyceride lipase-cholesterol esterase (predicted)"	11101	0	0	2
"squalene synthase Erg9 (predicted)"	11102	0	0	1
"tRNA (cytosine-5-)-methyltransferase (predicted)"	11104	0	0	1
"Ran GTPase binding protein (predicted)"	11106	0	0	1
estExt_Genewise1Plus.C_812404	11107	1	1	0
e_gw1.81.3845.1	11110	0	1	0
estExt_Genewise1.C_51546	11111	1	1	0
e_gw1.5.1256.1	11112	0	1	0
estExt_fgenesh1_pm.C_40480	11115	1	1	0
estExt_Genewise1Plus.C_22123	11117	1	1	0
estExt_Genewise1.C_21906	11118	1	1	1
estExt_fgenesh1_pg.C_11097	11120	1	1	0
 Neurospora crassa OR74A hypothetical protein (461 aa)	11125	1	1	0
 Neurospora crassa OR74A hypothetical protein (461 aa)	11127	1	0	0
 Neurospora crassa OR74A hypothetical protein (461 aa)	11130	1	0	0
"sulfide-quinone oxidoreductase"	11136	1	1	1
"1,3-beta-glucanosyltransferase Gas2 (predicted)"	11137	0	0	1
"Rab geranylgeranyltransferase escort protein (predicted)"	11138	0	0	1
"pig-W"	11140	0	0	1
"EF-1 alpha binding zinc finger protein Zpr1 (predicted)"	11141	1	1	1
estExt_fgenesh1_pg.C_60746	11143	1	1	0
estExt_Genemark.C_50005	11144	1	1	0
estExt_Genewise1Plus.C_22617	11147	1	1	0
estExt_fgenesh1_kg.C_10311	11148	1	1	1
estExt_fgenesh1_pm.C_10012	11150	2	1	1
 Neurospora crassa OR74A hypothetical protein (460 aa)	11151	1	0	0
 Neurospora crassa OR74A endonuclease/exonuclease/phosphatase (460 aa)	11152	1	1	0
 Neurospora crassa OR74A diphthamide biosynthesis protein 1 (460 aa)	11155	2	1	1
 Neurospora crassa OR74A tRNA (guanine-N(1)-)-methyltransferase (460 aa)	11160	1	1	0
"nuclear export factor (predicted)"	11162	0	0	1
"translation initiation factor eIF2B gamma subunit (predicted)"	11163	0	0	1
"sphingoid long chain base kinase (predicted)"	11164	0	0	1
estExt_fgenesh1_pm.C_811222	11166	1	1	0
estExt_Genewise1Plus.C_811793	11167	1	1	0
estExt_fgenesh1_pm.C_60252	11168	1	1	0
e_gw1.5.425.1	11170	1	1	0
fgenesh1_pg.4_#_834	11171	1	1	0
estExt_Genewise1Plus.C_41848	11173	1	1	0
Genemark.2529_g	11176	1	1	0
estExt_Genewise1.C_22164	11177	1	1	1
 Neurospora crassa OR74A hypothetical protein (459 aa)	11183	1	1	0
 Neurospora crassa OR74A hypothetical protein (459 aa)	11187	1	1	0
 Neurospora crassa OR74A arginine-tRNA-protein transferase 1 (459 aa)	11192	1	1	0
 Neurospora crassa OR74A hypothetical protein (459 aa)	11194	2	1	0
"ubiquitin C-terminal hydrolase Ubp16"	11196	0	0	1
"seven transmembrane receptor-like protein (predicted)"	11197	0	0	1
"MADS-box transcription factor Mbx1"	11198	0	0	1
"spindle pole body protein Kms2"	11201	0	0	1
"conserved fungal protein"	11202	1	1	1
estExt_Genewise1.C_62105	11204	1	1	0
estExt_Genemark.C_60803	11205	1	1	0
estExt_Genewise1.C_50766	11206	1	1	0
estExt_Genewise1Plus.C_10394	11211	1	1	0
 Neurospora crassa OR74A hypothetical protein (458 aa)	11212	1	1	0
 Neurospora crassa OR74A peroxin 13 (458 aa)	11216	1	0	0
 Neurospora crassa OR74A hypothetical protein (458 aa)	11217	1	0	0
"pyruvate dehydrogenase protein x component, Pdx1 (predicted)"	11219	0	0	1
"sporulation specific 1,3-beta-glucanosyltransferase Gas4"	11220	0	0	1
"chitin synthase regulatory factor Cfh4 (predicted)"	11221	0	0	1
"pig-A, phosphatidylinositol N-acetylglucosaminyltransferase subunit Gpi3 (predicted)"	11222	0	0	1
"mitochondrial tRNA(Ile)-lysidine synthetase family (predicted)"	11224	0	0	1
"mRNA cleavage and polyadenylation specificity factor complex subunit (predicted)"	11225	0	0	1
"choline kinase (predicted)"	11226	0	0	1
"RNA polymerase II associated Paf1 complex (predicted)"	11227	0	0	1
"transcription factor TFIIIC complex A box associated subunit Sfc1"	11228	0	0	1
estExt_fgenesh1_pg.C_811526	11229	1	1	0
estExt_Genewise1Plus.C_813535	11230	1	1	0
estExt_Genewise1.C_813163	11231	1	1	0
estExt_Genemark.C_810157	11232	1	1	0
estExt_fgenesh1_pm.C_21063	11237	1	1	1
estExt_Genewise1.C_20793	11238	0	1	0
 Neurospora crassa OR74A hypothetical protein (457 aa)	11241	1	0	0
 Neurospora crassa OR74A hypothetical protein (457 aa)	11243	1	1	0
 Neurospora crassa OR74A golgi apparatus membrane protein tvp38 (457 aa)	11244	1	1	0
 Neurospora crassa OR74A NADP-dependent alcohol dehydrogenase C (457 aa)	11246	1	0	0
 Neurospora crassa OR74A hypothetical protein (457 aa)	11249	1	1	0
 Neurospora crassa OR74A hypothetical protein (457 aa)	11250	1	0	0
 Neurospora crassa OR74A hypothetical protein (457 aa)	11251	1	1	0
 Neurospora crassa OR74A transcriptional regulator (457 aa)	11255	1	0	0
"conserved fungal protein"	11256	0	0	1
"origin recognition complex subunit Orc5"	11258	0	0	1
"human thyroid receptor interacting protein homolog, transcription coactivator (predicted)"	11260	0	0	1
estExt_fgenesh1_pm.C_811533	11262	0	1	0
estExt_fgenesh1_pg.C_811015	11263	1	1	0
estExt_Genewise1Plus.C_810829	11266	1	1	0
estExt_Genewise1Plus.C_62131	11267	1	1	0
fgenesh1_pg.6_#_106	11268	0	1	0
estExt_Genewise1Plus.C_50246	11270	1	1	1
estExt_fgenesh1_pm.C_40168	11272	1	1	0
estExt_fgenesh1_pm.C_40126	11273	1	1	0
e_gw1.1.754.1	11275	1	1	0
 Neurospora crassa OR74A hypothetical protein (456 aa)	11276	1	1	0
 Neurospora crassa OR74A hypothetical protein (456 aa)	11281	1	0	0
"enhancer of mRNA decapping Edc3"	11285	0	0	1
"AFG1 family mitochondrial ATPase Afg1 (predicted)"	11286	0	0	1
"SAGA complex histone acetyltransferase catalytic subunit Gcn5"	11287	0	0	1
"DNA primase catalytic subunit Spp1"	11288	0	0	1
"mediator complex subunit Pmc2/Med1"	11289	0	0	1
estExt_Genewise1Plus.C_812412	11290	2	2	0
estExt_fgenesh1_pm.C_810839	11291	2	2	0
estExt_fgenesh1_kg.C_60241	11292	1	1	1
estExt_Genemark.C_50307	11293	1	1	0
estExt_Genewise1.C_31955	11296	1	1	0
estExt_Genewise1Plus.C_20872	11297	1	1	0
estExt_fgenesh1_pg.C_10750	11299	1	1	1
 Neurospora crassa OR74A hypothetical protein (455 aa)	11304	1	0	0
 Neurospora crassa OR74A hypothetical protein (455 aa)	11305	1	1	0
 Neurospora crassa OR74A hypothetical protein (455 aa)	11306	1	1	0
 Neurospora crassa OR74A hypothetical protein (455 aa)	11309	1	0	0
 Neurospora crassa OR74A MFS transporter (455 aa)	11311	1	0	0
 Neurospora crassa OR74A quinone oxidoreductase (455 aa)	11313	1	0	0
 Neurospora crassa OR74A ubiquinol-cytochrome c reductase complex core protein 2 precursor (455 aa)	11316	1	1	0
 Neurospora crassa OR74A hypothetical protein (455 aa)	11317	1	0	0
 Neurospora crassa OR74A threonine dehydratase (455 aa)	11318	1	0	0
 Neurospora crassa OR74A O-acetylhomoserine (455 aa)	11319	1	1	1
 Neurospora crassa OR74A COP9 signalosome-1 (455 aa)	11322	1	1	0
"ATP-dependent RNA helicase Dbp8 (predicted)"	11324	0	0	1
"ZIP zinc transporter 1 (predicted)"	11325	0	0	1
"C-24(28) sterol reductase Sts1"	11326	0	0	1
"initiator methionine tRNA 2'-O-ribosyl phosphate transferase (predicted)"	11327	0	0	1
fgenesh1_pm.81_#_1483	11328	1	1	0
estExt_fgenesh1_pg.C_811218	11329	0	1	0
e_gw1.5.2313.1	11330	1	1	0
estExt_Genewise1Plus.C_50719	11331	1	1	0
estExt_fgenesh1_pg.C_20755	11335	1	1	0
estExt_fgenesh1_pg.C_20422	11336	2	1	1
 Neurospora crassa OR74A 30S ribosomal subunit S4 (454 aa)	11337	1	1	0
 Neurospora crassa OR74A hypothetical protein (454 aa)	11340	1	1	0
 Neurospora crassa OR74A amidohydrolase (454 aa)	11344	1	0	0
"histone H4-like TAF Taf6, SAGA complex subunit"	11346	0	0	1
"dihydrolipoamide S-succinyltransferase, e2 component of oxoglutarate dehydrogenase complex Kdg2 (predicted)"	11347	1	1	1
"Schizosaccharomyces specific protein"	11348	0	0	1
"ERMES complex subunit Mdm34 (predicted)"	11350	0	0	1
"TIM23 translocase complex subunit Tim50 (predicted)"	11351	0	0	1
"RNA polymerase II associated protein (predicted)"	11352	0	0	1
"Schizosaccharomyces specific protein"	11353	0	0	1
"traub family protein involved in ribosome biogenesis (predicted)"	11354	0	0	1
"auxin family transmembrane transporter (predicted)"	11355	0	0	1
fgenesh1_pg.81_#_988	11357	2	1	0
estExt_Genemark.C_60638	11358	1	1	0
e_gw1.6.2136.1	11359	0	1	0
e_gw1.4.1511.1	11360	1	1	0
estExt_fgenesh1_kg.C_30243	11362	2	1	1
estExt_Genewise1Plus.C_23132	11363	1	1	0
fgenesh1_pg.1_#_935	11364	0	1	0
 Neurospora crassa OR74A hypothetical protein (453 aa)	11365	1	1	0
 Neurospora crassa OR74A hypothetical protein (453 aa)	11368	1	1	0
 Neurospora crassa OR74A hypothetical protein (453 aa)	11369	1	0	0
 Neurospora crassa OR74A hypothetical protein (453 aa)	11371	1	1	0
 Neurospora crassa OR74A hypothetical protein (453 aa)	11373	1	1	0
 Neurospora crassa OR74A hypothetical protein (453 aa)	11375	2	1	0
"TORC1 subunit Tco89"	11378	0	0	1
"tRNA pseudouridine synthase Pus2 (predicted)"	11380	0	0	1
"X-Pro dipeptidase (predicted)"	11381	0	0	1
"nucleocytoplasmic transport chaperone Srp40 (predicted)"	11382	0	0	1
"box H/ACA snoRNP assembly protein Shq1 (predicted)"	11383	0	0	1
"gamma-glutamyl phosphate reductase Pro1 (predicted)"	11385	1	1	1
estExt_Genemark.C_811872	11386	1	1	0
estExt_Genemark.C_811521	11387	2	1	0
estExt_fgenesh1_kg.C_60307	11388	1	1	1
estExt_fgenesh1_pg.C_60069	11389	1	1	0
e_gw1.5.1326.1	11390	0	1	0
fgenesh1_pg.2_#_125	11393	0	1	0
estExt_fgenesh1_pg.C_10763	11394	1	1	0
fgenesh1_pg.1_#_228	11395	0	1	0
e_gw1.1.784.1	11396	2	2	0
 Neurospora crassa OR74A phosphomevalonate kinase (452 aa)	11398	1	1	0
 Neurospora crassa OR74A TOL (452 aa)	11403	1	0	0
 Neurospora crassa OR74A hypothetical protein (452 aa)	11404	1	1	0
 Neurospora crassa OR74A ribitol kinase (452 aa)	11407	1	0	0
"saccharopine dehydrogenase (predicted)"	11410	1	1	1
"glucan-alpha-1,4-glucosidase"	11411	0	0	1
"metaxin (predicted)"	11412	0	0	1
"cofactor for methionyl-and glutamyl-tRNA synthetases (predicted)"	11414	0	0	1
"dolichyl-diphospho-oligosaccharide-protein glycosyltransferase Ost1 (predicted)"	11415	0	0	1
"tRNA-pseudouridine synthase (predicted)"	11416	0	0	1
"tRNA (guanine) methyltransferase Trm5 (predicted)"	11417	0	0	1
"transcription factor TFIID complex subunit A/ SAGA complex subunit Taf12"	11418	0	0	1
"V-type ATPase V1 subunit H (predicted)"	11419	0	0	1
"mitochondrial glycerol dehydrogenase Gld1"	11420	0	0	1
estExt_Genewise1.C_160002	11422	1	1	0
Genemark.6926_g	11424	1	1	0
fgenesh1_pm.4_#_460	11425	0	1	0
estExt_Genemark.C_10163	11428	1	1	0
 Neurospora crassa OR74A hypothetical protein (451 aa)	11429	1	1	0
 Neurospora crassa OR74A hypothetical protein (451 aa)	11431	1	0	0
 Neurospora crassa OR74A hypothetical protein (451 aa)	11434	1	1	0
 Neurospora crassa OR74A hypothetical protein (451 aa)	11436	1	1	0
